factor,date,rolling_mean_ic,rolling_ic_ir
momentum_12m,2002-02-08,0.015232932712394561,0.11173143187750222
momentum_12m,2002-03-12,0.012519785822052055,0.08919234936744229
momentum_12m,2002-04-11,0.013508798602332967,0.09870296276331159
momentum_12m,2002-05-10,0.02059245587725379,0.15841015132294092
momentum_12m,2002-06-11,0.02278126908339569,0.17617604270492337
momentum_12m,2002-07-11,0.02013011335342914,0.15004043580802326
momentum_12m,2002-08-09,0.023093358009056902,0.17245048070064295
momentum_12m,2002-09-10,0.018171789371860946,0.12999198119684008
momentum_12m,2002-10-09,0.02601272757594247,0.18137458113410868
momentum_12m,2002-11-07,0.022870797848363277,0.1560581163130644
momentum_12m,2002-12-09,0.023790877105006367,0.15972785983401142
momentum_12m,2003-01-09,0.02153861724306366,0.1410865258476097
momentum_12m,2003-02-10,0.022069743899653976,0.14362427548045928
momentum_12m,2003-03-12,0.026429877702339462,0.1739006269929641
momentum_12m,2003-04-10,0.01980901586690443,0.12570154680772502
momentum_12m,2003-05-12,0.007483862451696603,0.046246541329421416
momentum_12m,2003-06-11,-0.0004914100608133795,-0.0030115451231519496
momentum_12m,2003-07-11,-0.0019262370333925946,-0.012147264487813383
momentum_12m,2003-08-11,-0.006352401222062056,-0.040570486027193126
momentum_12m,2003-09-10,-0.008377845333606918,-0.05657096992953476
momentum_12m,2003-10-09,-0.012408755972801767,-0.08700457549151534
momentum_12m,2003-11-07,-0.0065641917735287415,-0.04735773825613224
momentum_12m,2003-12-09,-0.008306063789261227,-0.061310316370324684
momentum_12m,2004-01-09,-0.004223866903314829,-0.031979541382660924
momentum_12m,2004-02-10,-0.010869557879759727,-0.08378338006117172
momentum_12m,2004-03-11,-0.014177426513702308,-0.10884683788513196
momentum_12m,2004-04-12,-0.01185566075514526,-0.09113559660734113
momentum_12m,2004-05-11,-0.00787815115931341,-0.060415037196477055
momentum_12m,2004-06-10,-0.003835576002289961,-0.029520089903847777
momentum_12m,2004-07-13,-0.0017691359090636636,-0.01367377930092094
momentum_12m,2004-08-11,-0.0022672147984194027,-0.017240548414883983
momentum_12m,2004-09-10,0.0001520192613149621,0.0011540023503694315
momentum_12m,2004-10-11,-0.0018907915033639059,-0.014520277533196546
momentum_12m,2004-11-09,-0.0017518081153772035,-0.013556790027953035
momentum_12m,2004-12-09,0.002773322876935291,0.022447532400052993
momentum_12m,2005-01-10,0.0005016854607839917,0.004038828728169269
momentum_12m,2005-02-09,0.004084136025409919,0.033254917652184836
momentum_12m,2005-03-11,0.007455463050431198,0.062210111573517364
momentum_12m,2005-04-12,0.0053456221722166415,0.046521043337087425
momentum_12m,2005-05-11,0.009653050802092441,0.08844586872206309
momentum_12m,2005-06-10,0.013223944354372862,0.12579934544985247
momentum_12m,2005-07-12,0.01264102311513921,0.12134331056264352
momentum_12m,2005-08-10,0.016925007566188005,0.1659487547559705
momentum_12m,2005-09-09,0.018323688660321705,0.17824325417136994
momentum_12m,2005-10-10,0.016276740712594506,0.15333868614785728
momentum_12m,2005-11-08,0.016151429203925222,0.14808390688401293
momentum_12m,2005-12-08,0.018433105510689378,0.1651695030416356
momentum_12m,2006-01-10,0.02048437249289253,0.1854022445004319
momentum_12m,2006-02-09,0.017946680753522768,0.16316633765687175
momentum_12m,2006-03-13,0.016456150674099924,0.14854276410630587
momentum_12m,2006-04-11,0.018880669006254965,0.1743325876216321
momentum_12m,2006-05-11,0.018663704251064957,0.17148797943580238
momentum_12m,2006-06-12,0.007751585384590584,0.06229007151050847
momentum_12m,2006-07-12,0.009897028664474781,0.07423280753254761
momentum_12m,2006-08-10,0.006784911500224516,0.0500536076173546
momentum_12m,2006-09-11,0.0012081991615246672,0.008898449264774342
momentum_12m,2006-10-10,0.000785753373844489,0.005944200338488585
momentum_12m,2006-11-08,-0.00022250812062114602,-0.00173052874211884
momentum_12m,2006-12-08,-0.0033469698216602815,-0.02683827890877965
momentum_12m,2007-01-11,-0.0035960908504081538,-0.02926663196225668
momentum_12m,2007-02-12,-0.00325867352483416,-0.026749680799701653
momentum_12m,2007-03-14,-0.0033332778217237484,-0.027308336064737232
momentum_12m,2007-04-13,-0.003480853302363196,-0.02871180311121408
momentum_12m,2007-05-14,-0.002705572064131363,-0.023000880940265443
momentum_12m,2007-06-13,0.0056053489308557575,0.054939072827344865
momentum_12m,2007-07-13,0.0032421272154896565,0.03579791877274557
momentum_12m,2007-08-13,0.0038548475032229154,0.043234362920518875
momentum_12m,2007-09-12,0.011612095999286857,0.12645136955363342
momentum_12m,2007-10-11,0.016543787147629756,0.17238325527649917
momentum_12m,2007-11-09,0.019048355728304333,0.18342277168293294
momentum_12m,2007-12-11,0.024675160571588278,0.22672201988769175
momentum_12m,2008-01-11,0.027019848945978416,0.23085571006849726
momentum_12m,2008-02-12,0.021679346916203594,0.1702191174184255
momentum_12m,2008-03-13,0.02446112978518682,0.1900430327777942
momentum_12m,2008-04-14,0.0260231797867894,0.19421902926037715
momentum_12m,2008-05-13,0.025895830847626512,0.18754553756907935
momentum_12m,2008-06-12,0.03026654004762547,0.2135468529005845
momentum_12m,2008-07-14,0.03498107886724392,0.23741946696063915
momentum_12m,2008-08-12,0.02915632244039178,0.18156293182061842
momentum_12m,2008-09-11,0.022228928776112607,0.13301621150661747
momentum_12m,2008-10-10,0.01995268429577279,0.11996404281594875
momentum_12m,2008-11-10,0.02065737591774802,0.12631760262214944
momentum_12m,2008-12-10,0.014823130003915143,0.08730254105794284
momentum_12m,2009-01-12,0.008939020131508891,0.051023911340955214
