name,mean_ic,ic_tstat,mean_autocorr,avg_decile_spread,avg_decile_0,avg_decile_1,avg_decile_2,avg_decile_3,avg_decile_4,avg_decile_5,avg_decile_6,avg_decile_7,avg_decile_8,avg_decile_9,ic_ir,ls_return_mean,ls_return_std,ls_sharpe,ls_max_drawdown,ff_alpha,ff_beta_mktrf,ff_beta_smb,ff_beta_hml,ff_beta_umd,ff_t_alpha,ff_p_alpha,ff_t_mktrf,ff_p_mktrf,ff_t_smb,ff_p_smb,ff_t_hml,ff_p_hml,ff_t_umd,ff_p_umd,ic_hit_rate,recent_ic_mean_60d,ls_sharpe_last_yr,ls_max_drawdown_last_yr
momentum_12m,0.010489772491849816,5.182124199205676,0.992425261535035,0.014020930797134299,0.0010029844381435557,0.0006477996636748216,0.0006300749397941582,0.0006435987459764709,0.0006182952026328626,0.0006063406025559389,0.0005628187066608905,0.00062646790759743,0.0006193604402169162,0.0008185618234868787,0.06561754011410206,-0.00018410697482786322,0.014405563142435702,-0.20288048382866425,-0.9172728115855876,-0.00017699968098044627,-0.04712775349496205,0.01983368510580592,-0.008690052003648094,0.13585452253560273,-0.977738499760118,0.328241706377989,-3.011807301240164,0.002607416015435904,0.6699206544368167,0.5029332449541002,-0.3459236562892738,0.7294117910567954,7.106266098721858,1.325606291402437e-12,0.5385602052268719,0.04396542703087529,-0.5747597127065099,-0.24287074540656295
volatility_60d,-0.008328661392974543,-3.6554697786486567,0.9950520053920383,0.015276539319906898,0.0005245789727928453,0.0005600120915633682,0.0005656079951766297,0.0005551993488760561,0.0006320325621698737,0.0006205120651427774,0.0006300741361291278,0.0007384016334411766,0.0008345051585738482,0.0013828616816079994,-0.04541043841530281,0.0008546175009384768,0.016911234122994556,0.8022260316858534,-0.62785523080127,0.0008572734250687533,0.040851062024434434,0.07188062734961216,-0.06949576628071122,-0.07700465509889083,4.100218309765938,4.1782242785615153e-05,2.307179557538025,0.021076270206688896,2.1646431074800416,0.0304515245454966,-2.445208547326892,0.014503351974787249,-3.588060297746706,0.0003356134735097438,0.48487654320987655,-0.024055834907377335,1.7063728933126825,-0.253352090183682
residual_momentum_12m,0.01129124868767949,6.00915032609393,0.9921432794575249,0.013140673338337136,0.000772573528707149,0.0006449572981373386,0.0005668610664044546,0.0006158560449346233,0.0006545205995751293,0.0006742330727497388,0.0006259345931528712,0.0005829573565808721,0.0006746546336460371,0.001053037376245405,0.07759072999222291,0.0002792410764992261,0.012487891758263963,0.3549690172940553,-0.7462236851281956,0.0002931523428616892,-0.02217222455262674,-0.009727707293811488,-0.04667956325873532,0.11183939352023874,1.8337011218398696,0.06674804273258195,-1.6082886848386126,0.10782475677856262,-0.37175122658001686,0.710091252007123,-2.046188409444194,0.040781479113821906,6.421370806027705,1.4544832005469743e-10,0.5436812270756919,0.042796715950148105,0.3229348467299529,-0.1481054976329238
ivol_60d,-0.007893615493145502,-4.268307110237046,0.9942973569429213,0.01413451089506604,0.0005322822742151017,0.0005420066282214344,0.0005908491561562514,0.0005586998520060409,0.0006095504694027182,0.0006090909613197837,0.0006271965473905324,0.0006574944497036514,0.0008640833642285501,0.0013648880946045179,-0.05313840084771878,0.000830783980718373,0.014931451482395691,0.8832555128837725,-0.5179214053077941,0.0008269388477106602,0.05912131845324064,0.05696276606956936,-0.05262618124740195,-0.08888345833277539,4.48344026428082,7.4723395235842816e-06,3.774753385655691,0.0001616073758474723,1.919334730063076,0.05498616641254883,-2.0995849857064592,0.0358042153747109,-4.6774214031679815,2.964403741589905e-06,0.48078115313081216,-0.02018989410440843,1.7132280767802675,-0.20877996115686337
downside_vol_60d,-0.007701166681844735,-3.375282381721544,0.9955417598874695,0.014982974204179753,0.0005371407409771953,0.0005217450844439327,0.0005280111524278143,0.0005867841314112161,0.000588443124316331,0.0006167893809736747,0.0007482151781745604,0.0007141600701402567,0.0008509075134047066,0.0013464772407638854,-0.04192654754494706,0.0008050767378807586,0.016810450735064042,0.7602530836294699,-0.5858196135235708,0.000805050944993592,0.04507061174420657,0.08330327983062792,-0.04692831908312094,-0.09830164492808587,3.872661518559089,0.00010871576904203373,2.560055593674465,0.0104880789977988,2.523110067996594,0.011655989653746257,-1.6605754709616563,0.09684724677517131,-4.606506477139256,4.173411609853517e-06,0.4823329733065885,-0.02597894246027416,1.4023767891862589,-0.23444591165329398
mean_reversion_5d,0.007167423454780053,4.828133470956319,0.7433202669336996,0.012669358622774725,0.0005483989291231726,0.0005386426385526549,0.0004067784850249605,0.0005559641396742965,0.0005965335422159541,0.0006356549899156081,0.0006877067510536802,0.0007582855191264671,0.0008708803400283382,0.0013709454565435566,0.059862605710020216,0.0008172985066568095,0.01230107970850081,1.0547213643485562,-0.47866932700711706,0.000829765766747113,-0.016697857580920007,-0.002844821061312359,-0.03384489070949082,-0.07378423503016923,5.458522197235791,4.9789701694891164e-08,-1.2985678456756622,0.19413843852059154,-0.11852270358574608,0.9056571767776691,-1.6364777711298384,0.10178814353924248,-4.730649259645353,2.285411254243641e-06,0.5168332052267487,-0.018422391062048137,0.2315329960500891,-0.1738017412777788
high52w_proximity,0.007046151042232451,3.4398609401294085,0.9826367817318273,0.014619952823711913,0.001271055307705269,0.0008145105371308365,0.0007782502250886292,0.0006508771333716349,0.0006711230347022201,0.0006492097965919489,0.0005584973589332066,0.0005739135624988843,0.0005612232663818198,0.00038790343324267214,0.04304873908664863,-0.0008902441540959312,0.0157824319416915,-0.8954379071243916,-0.998720362495646,-0.0008935355972035464,-0.03526073675576074,-0.08040937414613883,0.0032839233459699374,0.1623364505043686,-4.55973941661426,5.217546913183213e-06,-2.095745572775078,0.0361441537597178,-2.510067429665208,0.012095416192303698,0.12335322720283308,0.9018312869231524,7.9178570234021874,2.886579864025407e-15,0.5375097885669538,0.04546253761233767,-0.8500189131879712,-0.32323050942705633
dollar_volume_20d,-0.0042881202628469286,-3.9726670656985594,0.9991780113064902,0.011641267450839536,0.0010646333396004963,0.0008544066955060495,0.0008658147696034199,0.0007868963886497164,0.000663592325253253,0.0006534976113696763,0.0006986188753594568,0.0005486028683711098,0.00046783864898140463,0.00034845330099938956,-0.04927108057316123,-0.0007155591044095619,0.007145585155782167,-1.5896736774066793,-0.9926880175910608,-0.0007021682899888855,-0.023488520043465327,-0.0021928908073907,0.03747213573866646,0.010228682161935653,-8.066637521404163,8.881784197001252e-16,-3.1894775318578907,0.0014320878134521653,-0.15958361882253533,0.8732140552403471,3.1646474510146168,0.0015598918442070175,1.1453368275015616,0.2521119341819982,0.47285033071835103,0.031712292242860034,0.1612001238768035,-0.11303610294651811
amihud_illiq_20d,0.0014398770475195426,1.0319981308151895,0.9954301675934225,0.015214108072453793,0.0005633397111759365,0.0006378938544235317,0.0007273871595584046,0.0006803842231767608,0.0005838938545218197,0.0005535001534090886,0.0005444062647225808,0.0006004764902532656,0.0007538501020758787,0.001306560905966385,0.012800361425222126,0.0007426121304924475,0.009698050350268755,1.2155641269536699,-0.3396135913901551,0.000737325684135686,0.004663735372814816,0.002134184728080458,-0.006922458595445371,0.00040155679062081574,6.16407780678948,7.515521538437042e-10,0.46086990839480274,0.644907404057455,0.11289941491567583,0.9101137963220363,-0.4254651152623502,0.6705117713487196,0.032719363541024865,0.9738993896797541,0.5012307692307693,-0.00971399563535936,2.1415633270227117,-0.09817345695109181
amihud_illiq_log_20d,0.0014037038910602957,1.0471819893574028,0.9946833402810025,0.01474831719716144,0.0006743653070041672,0.0006528447512141812,0.0006085646812845278,0.000603836259969657,0.0006032992338816041,0.0005612113826090236,0.000597689069143279,0.0005981576951047646,0.0008084069948378314,0.0013059728630603958,0.01299869685796696,0.0006283840694452294,0.009495196077651731,1.0505615441685445,-0.3087952479717807,0.0006237415678904176,-0.0025191593855514193,0.01833488712643815,0.027415590421960047,-0.01903408335967253,5.3279703818777815,1.0266848304851806e-07,-0.2541150914021452,0.7994147173871191,0.9882517786926329,0.323066299434148,1.7224977264955432,0.08502716766299478,-1.5840190408305694,0.11323824487957257,0.5024653312788906,-0.01301324010501206,1.8625450570203337,-0.09824720852581015
