factor,mean_ic,ic_tstat,ic_ir,ic_hit_rate,recent_ic_mean_60d,mean_autocorr,avg_decile_spread,avg_decile_0,avg_decile_1,avg_decile_2,avg_decile_3,avg_decile_4,avg_decile_5,avg_decile_6,avg_decile_7,avg_decile_8,avg_decile_9,dq_total_dates,dq_total_tickers,dq_non_null_obs,dq_pct_non_null,dq_mean_coverage,dq_median_coverage,dq_min_coverage,dq_pct_allnan_dates,ic_mean_12m,ls_return_mean,ls_return_std,ls_sharpe,ls_max_drawdown,ls_sharpe_last_yr,ls_max_drawdown_last_yr,ff_alpha,ff_t_alpha,ff_p_alpha,ff_beta_mktrf,ff_t_mktrf,ff_p_mktrf,ff_beta_smb,ff_t_smb,ff_p_smb,ff_beta_hml,ff_t_hml,ff_p_hml,ff_beta_umd,ff_t_umd,ff_p_umd
theta_momentum_riskadj,0.009770089076891532,5.091911571162243,0.0632498998421911,0.5351026076222805,0.04537510918820154,0.6252129294380812,0.014198684458478477,0.0011326619262330365,0.0007386589497712756,0.0007111399586995357,0.0006720555223395846,0.0006406298730896678,0.000638494772339001,0.0006381886527366711,0.0006109658684205438,0.000614170252687601,0.0006403979109772946,6492,688,4466496,1.0,1.0,1.0,1.0,0.0,0.016414646845183595,-0.000490430524764116,0.01513322599401689,-0.5144536416995664,-0.9877211197784973,-1.1322821104561593,-0.34494110206457085,-0.0004885601533785793,-2.609510620056329,0.009088084132641505,-0.04968104228877187,-3.1332964859818637,0.0017362790209995982,-0.015823168825745568,-0.5321357134654042,0.5946502954317379,0.018049154757146746,0.7091454781557667,0.4782597830982531,0.10356000514561929,5.388375015036618,7.360963083513639e-08
theta_pure_value,0.0006932553688154046,0.47417550534108927,0.006662029063334833,0.49190682984603235,0.0009490016686578217,0.9974626151430102,0.011457329247408287,0.000975494354930256,0.0006943014529918667,0.0005937527619097921,0.0005816946120292276,0.0005196266185828103,0.0005432440087209452,0.0005769877114217699,0.0005669241945012677,0.0006809162774604418,0.0008861784841407564,5077,688,3492976,1.0,1.0,1.0,1.0,0.0,-0.003429567538456364,-8.991237399971189e-05,0.007933512457190756,-0.17990955406521353,-0.6794028553246528,-0.9649350603115798,-0.212959104949334,-6.908015531796736e-05,-0.6296756858937657,0.5289352908877369,-0.025483885738738374,-2.737320383396869,0.006215891818709851,0.01277429308659458,0.7176289952516917,0.47301928122426684,0.05011739668511173,3.3267397731921697,0.0008849660566219164,-0.0024870681993554677,-0.21278755771511057,0.8315012610405306
theta_pure_quality,0.012120309165650774,9.720818384448004,0.13657469411037584,0.5619818397157521,0.00663024202298619,0.9969893619601147,0.01020039595495888,0.0007219819243817504,0.0005124509810141141,0.0005641088024587392,0.0005217646818716471,0.0006604314432504323,0.0006802572885498322,0.0006878297361744395,0.0006868401015933422,0.0007441249097025061,0.0008426139087022817,5077,688,3492976,1.0,1.0,1.0,1.0,0.0,0.00789452643550468,0.00011916483571033604,0.008481187073146454,0.22304461693458547,-0.43052985276785427,-0.8188980816639735,-0.2488255662539628,0.00015162453048904378,1.2934533523598974,0.1959134910765643,-0.05956972321537284,-5.9882958382038805,2.2671884369884765e-09,-0.031651906705584675,-1.6641047554619866,0.09615356314124046,0.01966532591980694,1.2216566358416368,0.22189454830563649,0.030370374978184254,2.431791705003534,0.01505889454243814
theta_shortterm_reversal,0.004537716999186589,3.277805897161984,0.040640550472794114,0.5051498847040737,-0.02920987123048362,0.8473238835552978,0.01229237716701673,0.0006172632218364171,0.0005707650873885746,0.0005162919291922494,0.0005611793546156009,0.0005905957698301428,0.0006262064945205609,0.0007109415337400565,0.0007858143112736319,0.0008178022236064203,0.0011741051341371803,6516,688,4483008,1.0,1.0,1.0,1.0,0.0,-0.007548615839226374,0.0005590739541616323,0.011070519395936859,0.8016808937156611,-0.445167564323955,0.15432854355973927,-0.2224559962194158,0.000560266166502647,4.108034170893814,4.039512701337067e-05,0.005328277365188254,0.46186047683223824,0.6441968662021349,-0.007027270436650317,-0.3263272531017714,0.7441872977990467,6.180115241212593e-05,0.0033306856896201495,0.9973426046399123,-0.09404085028404265,-6.720379541335383,1.9667822925839573e-11
theta_growth_acceleration,0.003681647387729256,2.9813880033709528,0.04443897089645005,0.5189957787158409,0.0168340790122648,0.9959385505645608,0.010762804557742069,0.0006586832731097007,0.0005901205779229551,0.0006278143910974326,0.0006541565274979848,0.000598312064727577,0.0006477267600336562,0.0005562537345378368,0.0006700831917579594,0.000687326252658428,0.0009665448289775816,4512,688,3104256,1.0,1.0,1.0,1.0,0.0,0.010299093840606849,0.0003061666894391301,0.00848757679109981,0.5726305210014504,-0.31020126960368144,2.546732202825585,-0.059272458242463744,0.00029572782457297985,2.3708605764715127,0.017788770674446175,-0.017693720763635807,-1.7244201419997256,0.08470095679166456,0.06435714462278413,3.276002587038175,0.0010608843842581095,-0.025385753583431495,-1.55950874948881,0.1189466019710641,0.0025371722029282513,0.19810172364117087,0.8429744584943821
theta_info_forensic_drift,0.0045742391252377775,7.35650373956024,0.09119710596387491,0.5431074227754725,0.008656928534035439,0.9866710367542156,0.009420200339478522,0.0007763806282896494,0.0006534141927381814,0.0006513925694750776,0.0007627956608269484,0.000696030400870038,0.0006858997590321045,0.000714108599068137,0.0007023137817386259,0.0006979204856246476,0.0006422487826552016,6993,688,4811184,1.0,1.0,1.0,1.0,0.0,0.009704917028761645,-0.00014343902598237652,0.005429556561831324,-0.41937567467502185,-0.7309908886380292,0.1040776298184304,-0.07782546024823633,-0.00014080347140076434,-2.0959520848837863,0.0361250812613545,-0.019369674409321753,-3.4109490843088173,0.0006513212917789168,-0.008099076903430775,-0.7635803941222835,0.4451450973057103,-0.011201315679148335,-1.2258122914705643,0.22031380564943537,0.030347017996220683,4.403375413116933,1.082898797055698e-05
theta_structural_liquidity,0.00737612312699534,7.466763241808734,0.092606676377293,0.5382248884786955,-0.012927601163073824,0.9576327051736544,0.011187661413548355,0.0005087340940398363,0.0006175198676819035,0.0006097242073639674,0.0005682058599151283,0.0006063412483668837,0.0005880441589804861,0.0006651227848197109,0.0007269014195047641,0.0008142452207575414,0.001246312740542434,6512,688,4480256,1.0,1.0,1.0,1.0,0.0,-0.0076252772636047576,0.0007352757006251168,0.007970643974551151,1.4643910743980157,-0.2044138424902422,0.05875061545506751,-0.20441384249024286,0.0007230060445364343,7.36145196852493,2.0450308113595383e-13,0.007820537613778756,0.9411757479180844,0.3466498703372909,-0.01795948026118072,-1.1583379675878598,0.24676881124800398,-0.013860030953371086,-1.037412112888806,0.29958252688138387,0.008405592895046717,0.8341652981404568,0.40421857755158586
theta_systematic_risk,0.005344750592935763,2.839405248685717,0.035651682080470704,0.5019706763361186,0.0018402032967420503,0.9981356085369155,0.013121432848685988,0.0009869048673312691,0.0008067726464589521,0.0007555141765613252,0.0007358845937180424,0.0006276670253267228,0.0005827122384106804,0.0005770280119225547,0.0005817339255261963,0.0005514816909441355,0.0006239247087099938,6354,688,4371552,1.0,1.0,1.0,1.0,0.0,-0.0027090455658320524,-0.00036351181873748814,0.013256848646958842,-0.4352898173425917,-0.9749231012664801,-0.8538588498390395,-0.33835479383486267,-0.0003909702782244796,-2.356392745471421,0.018483725406406748,-0.020838523121519997,-1.4631847458841483,0.14346652336222876,-0.036483693374034856,-1.345087432680878,0.17864522574766628,0.04963688802436612,2.203336951391008,0.027606924982742642,0.074478525365759,4.297660965553724,1.7519896089668308e-05
theta_size_smallcap,-0.00090700478228228,-0.6091466129508757,-0.008558334189767041,0.5029609159099881,-0.03838161367908402,0.9998170699907571,0.010225243691574433,0.0005148657841615842,0.0005289406736396704,0.000573274357615632,0.000563270650800531,0.0004963675646808891,0.0006288025717356762,0.0006220331269512891,0.0006615656012940999,0.0008722668105618063,0.0011608473191509025,5077,688,3492976,1.0,1.0,1.0,1.0,0.0,-0.027543277536681347,0.0006461081231295107,0.009008302133811113,1.1385773179897845,-0.4372436412392987,0.4765777679837011,-0.21267368425810862,0.0006373044381505631,5.107674850965573,3.381465500940095e-07,0.011456061412995872,1.0819520064255836,0.2793255354791486,-0.005451517860872397,-0.2692732562509578,0.787730415988583,-0.02477042874354467,-1.4456945097853293,0.14832498272073846,-0.036525595132429284,-2.747694963320751,0.006022893318793354
